1 3 5
2 3 4.99
3 2.9999 4.98
4 2.9997 4.97
5 2.9994 4.96001
6 2.999 4.95002
7 2.9985 4.94004
8 2.9979 4.93007
9 2.9972 4.92011
10 2.9964 4.91017
11 2.9955 4.90024
12 2.99451 4.89033
13 2.99341 4.88044
14 2.99221 4.87057
15 2.99092 4.86073
16 2.98953 4.85091
17 2.98804 4.84112
18 2.98645 4.83136
19 2.98476 4.82163
20 2.98298 4.81193
21 2.9811 4.80227
22 2.97912 4.79265
23 2.97705 4.78307
24 2.97488 4.77353
25 2.97261 4.76403
26 2.97025 4.75458
27 2.9678 4.74517
28 2.96525 4.73582
29 2.96261 4.72651
30 2.95987 4.71726
31 2.95705 4.70806
32 2.95413 4.69892
33 2.95112 4.68984
34 2.94801 4.68082
35 2.94482 4.67186
36 2.94154 4.66296
37 2.93817 4.65413
38 2.93471 4.64537
39 2.93117 4.63667
40 2.92753 4.62805
41 2.92381 4.6195
42 2.92001 4.61102
43 2.91612 4.60262
44 2.91214 4.5943
45 2.90809 4.58606
46 2.90395 4.57789
47 2.89973 4.56982
48 2.89542 4.56182
49 2.89104 4.55391
50 2.88658 4.54609
51 2.88204 4.53836
52 2.87743 4.53072
53 2.87273 4.52317
54 2.86797 4.51572
55 2.86312 4.50836
56 2.85821 4.50109
57 2.85322 4.49393
58 2.84816 4.48687
59 2.84303 4.4799
60 2.83782 4.47304
61 2.83255 4.46629
62 2.82722 4.45963
63 2.82181 4.45309
64 2.81634 4.44665
65 2.81081 4.44033
66 2.80521 4.43411
67 2.79956 4.42801
68 2.79384 4.42202
69 2.78806 4.41614
70 2.78222 4.41038
71 2.77632 4.40473
72 2.77037 4.39921
73 2.76436 4.3938
74 2.7583 4.38851
75 2.75218 4.38335
76 2.74602 4.3783
77 2.7398 4.37338
78 2.73353 4.36859
79 2.72722 4.36392
80 2.72086 4.35937
81 2.71445 4.35495
82 2.708 4.35067
83 2.70151 4.34651
84 2.69497 4.34248
85 2.6884 4.33858
86 2.68178 4.33481
87 2.67513 4.33117
88 2.66844 4.32767
89 2.66172 4.3243
90 2.65496 4.32107
91 2.64817 4.31797
92 2.64135 4.315
93 2.6345 4.31218
94 2.62763 4.30949
95 2.62072 4.30693
96 2.61379 4.30452
97 2.60684 4.30224
98 2.59986 4.30011
99 2.59286 4.29811
100 2.58584 4.29625
101 2.5788 4.29454
102 2.57175 4.29296
103 2.56468 4.29152
104 2.55759 4.29023
105 2.55049 4.28908
106 2.54339 4.28807
107 2.53627 4.2872
108 2.52914 4.28648
109 2.522 4.28589
110 2.51486 4.28545
111 2.50772 4.28516
112 2.50057 4.285
113 2.49342 4.28499
114 2.48627 4.28512
115 2.47912 4.2854
116 2.47197 4.28581
117 2.46483 4.28637
118 2.4577 4.28708
119 2.45057 4.28792
120 2.44345 4.28891
121 2.43633 4.29004
122 2.42923 4.29132
123 2.42215 4.29273
124 2.41508 4.29429
125 2.40802 4.29599
126 2.40098 4.29783
127 2.39396 4.29981
128 2.38695 4.30193
129 2.37997 4.30419
130 2.37302 4.30659
131 2.36608 4.30913
132 2.35917 4.31181
133 2.35229 4.31463
134 2.34544 4.31758
135 2.33861 4.32067
136 2.33182 4.3239
137 2.32506 4.32726
138 2.31833 4.33076
139 2.31164 4.33439
140 2.30498 4.33816
141 2.29836 4.34206
142 2.29179 4.34609
143 2.28525 4.35026
144 2.27875 4.35455
145 2.27229 4.35898
146 2.26588 4.36353
147 2.25952 4.36822
148 2.2532 4.37302
149 2.24693 4.37796
150 2.24071 4.38302
151 2.23454 4.38821
152 2.22842 4.39352
153 2.22236 4.39895
154 2.21635 4.4045
155 2.21039 4.41017
156 2.2045 4.41597
157 2.19865 4.42188
158 2.19287 4.4279
159 2.18715 4.43405
160 2.18149 4.4403
161 2.1759 4.44667
162 2.17036 4.45316
163 2.16489 4.45975
164 2.15949 4.46645
165 2.15416 4.47326
166 2.14889 4.48018
167 2.14369 4.4872
168 2.13856 4.49433
169 2.13351 4.50155
170 2.12852 4.50888
171 2.12361 4.51631
172 2.11877 4.52384
173 2.11401 4.53147
174 2.10933 4.53919
175 2.10472 4.547
176 2.10019 4.55491
177 2.09574 4.5629
178 2.09137 4.57099
179 2.08708 4.57916
180 2.08287 4.58742
181 2.07874 4.59576
182 2.0747 4.60419
183 2.07074 4.61269
184 2.06687 4.62128
185 2.06308 4.62994
186 2.05938 4.63868
187 2.05577 4.64749
188 2.05224 4.65637
189 2.04881 4.66533
190 2.04546 4.67435
191 2.0422 4.68344
192 2.03904 4.6926
193 2.03596 4.70182
194 2.03298 4.7111
195 2.03009 4.72044
196 2.0273 4.72984
197 2.0246 4.73929
198 2.02199 4.7488
199 2.01948 4.75836
200 2.01706 4.76797
201 2.01474 4.77763
202 2.01252 4.78734
203 2.01039 4.79709
204 2.00836 4.80688
205 2.00643 4.81671
206 2.0046 4.82658
207 2.00286 4.83649
208 2.00123 4.84643
209 1.99969 4.85641
210 1.99826 4.86641
211 1.99692 4.87645
212 1.99568 4.88651
213 1.99455 4.8966
214 1.99351 4.90671
215 1.99258 4.91684
216 1.99175 4.92698
217 1.99102 4.93715
218 1.99039 4.94733
219 1.98986 4.95752
220 1.98944 4.96772
221 1.98912 4.97794
222 1.9889 4.98815
223 1.98878 4.99837
224 1.98876 5.0086
225 1.98885 5.01882
226 1.98904 5.02905
227 1.98933 5.03927
228 1.98972 5.04948
229 1.99021 5.05969
230 1.99081 5.06988
231 1.99151 5.08006
232 1.99231 5.09023
233 1.99321 5.10039
234 1.99422 5.11052
235 1.99532 5.12064
236 1.99653 5.13073
237 1.99784 5.1408
238 1.99924 5.15085
239 2.00075 5.16086
240 2.00236 5.17085
241 2.00407 5.1808
242 2.00588 5.19072
243 2.00778 5.2006
244 2.00979 5.21044
245 2.01189 5.22025
246 2.0141 5.23001
247 2.0164 5.23973
248 2.01879 5.2494
249 2.02129 5.25902
250 2.02388 5.2686
251 2.02657 5.27812
252 2.02935 5.28759
253 2.03222 5.297
254 2.03519 5.30636
255 2.03826 5.31566
256 2.04141 5.32489
257 2.04466 5.33406
258 2.048 5.34317
259 2.05143 5.35221
260 2.05496 5.36118
261 2.05857 5.37008
262 2.06227 5.37891
263 2.06606 5.38766
264 2.06993 5.39634
265 2.0739 5.40494
266 2.07795 5.41347
267 2.08208 5.42191
268 2.0863 5.43027
269 2.0906 5.43854
270 2.09499 5.44673
271 2.09946 5.45483
272 2.104 5.46284
273 2.10863 5.47076
274 2.11334 5.47859
275 2.11813 5.48632
276 2.12299 5.49396
277 2.12793 5.5015
278 2.13294 5.50894
279 2.13803 5.51628
280 2.1432 5.52352
281 2.14843 5.53065
282 2.15374 5.53769
283 2.15911 5.54461
284 2.16456 5.55143
285 2.17007 5.55814
286 2.17566 5.56474
287 2.1813 5.57122
288 2.18702 5.5776
289 2.19279 5.58386
290 2.19863 5.59
291 2.20453 5.59603
292 2.21049 5.60194
293 2.21651 5.60773
294 2.22259 5.6134
295 2.22872 5.61895
296 2.23491 5.62437
297 2.24115 5.62967
298 2.24745 5.63485
299 2.2538 5.6399
300 2.2602 5.64483
301 2.26665 5.64962
302 2.27314 5.65429
303 2.27969 5.65883
304 2.28627 5.66323
305 2.29291 5.66751
306 2.29958 5.67165
307 2.3063 5.67566
308 2.31305 5.67953
309 2.31985 5.68327
310 2.32668 5.68687
311 2.33355 5.69034
312 2.34045 5.69367
313 2.34739 5.69686
314 2.35436 5.69991
315 2.36136 5.70282
316 2.36839 5.7056
317 2.37544 5.70823
318 2.38253 5.71072
319 2.38963 5.71307
320 2.39676 5.71528
321 2.40392 5.71734
322 2.41109 5.71926
323 2.41828 5.72104
324 2.42549 5.72268
325 2.43272 5.72417
326 2.43996 5.72551
327 2.44722 5.72671
328 2.45448 5.72777
329 2.46176 5.72868
330 2.46905 5.72944
331 2.47634 5.73006
332 2.48364 5.73054
333 2.49095 5.73086
334 2.49826 5.73104
335 2.50557 5.73108
336 2.51288 5.73097
337 2.52019 5.73071
338 2.5275 5.73031
339 2.5348 5.72976
340 2.5421 5.72906
341 2.54939 5.72822
342 2.55667 5.72723
343 2.56394 5.7261
344 2.5712 5.72482
345 2.57845 5.72339
346 2.58568 5.72182
347 2.5929 5.72011
348 2.6001 5.71825
349 2.60729 5.71625
350 2.61445 5.71411
351 2.62159 5.71182
352 2.62871 5.70938
353 2.6358 5.70681
354 2.64287 5.70409
355 2.64991 5.70124
356 2.65692 5.69824
357 2.66391 5.6951
358 2.67086 5.69182
359 2.67777 5.68841
360 2.68466 5.68485
361 2.69151 5.68116
362 2.69832 5.67733
363 2.70509 5.67336
364 2.71183 5.66926
365 2.71852 5.66502
366 2.72517 5.66065
367 2.73177 5.65615
368 2.73834 5.65151
369 2.74485 5.64675
370 2.75132 5.64185
371 2.75774 5.63682
372 2.76411 5.63167
373 2.77042 5.62639
374 2.77669 5.62098
375 2.7829 5.61544
376 2.78905 5.60979
377 2.79515 5.604
378 2.80119 5.5981
379 2.80717 5.59208
380 2.81309 5.58593
381 2.81895 5.57967
382 2.82475 5.57329
383 2.83048 5.5668
384 2.83615 5.56019
385 2.84175 5.55347
386 2.84728 5.54663
387 2.85275 5.53969
388 2.85815 5.53263
389 2.86347 5.52547
390 2.86873 5.5182
391 2.87391 5.51082
392 2.87902 5.50335
393 2.88405 5.49576
394 2.88901 5.48808
395 2.89389 5.4803
396 2.89869 5.47243
397 2.90342 5.46445
398 2.90806 5.45638
399 2.91263 5.44822
400 2.91711 5.43997
401 2.92151 5.43163
402 2.92582 5.4232
403 2.93006 5.41468
404 2.9342 5.40608
405 2.93826 5.3974
406 2.94224 5.38863
407 2.94612 5.37979
408 2.94992 5.37086
409 2.95363 5.36187
410 2.95725 5.35279
411 2.96078 5.34365
412 2.96421 5.33443
413 2.96756 5.32515
414 2.97081 5.3158
415 2.97397 5.30638
416 2.97703 5.2969
417 2.98 5.28736
418 2.98287 5.27776
419 2.98565 5.2681
420 2.98833 5.25839
421 2.99092 5.24862
422 2.9934 5.23881
423 2.99579 5.22894
