1 3 5
2 3 4.9
3 2.99 4.8
4 2.97 4.702
5 2.9402 4.608
6 2.901 4.51996
7 2.853 4.43976
8 2.79697 4.36916
9 2.73389 4.30977
10 2.66486 4.26299
11 2.59116 4.23002
12 2.51417 4.21178
13 2.43534 4.20895
14 2.35624 4.22188
15 2.27843 4.25063
16 2.20349 4.29495
17 2.13298 4.35425
18 2.06841 4.42765
19 2.01118 4.51397
20 1.96257 4.61174
21 1.92375 4.71922
22 1.89567 4.83447
23 1.87912 4.95534
24 1.87465 5.07952
25 1.8826 5.20459
26 1.90306 5.32807
27 1.93587 5.44745
28 1.98061 5.56028
29 2.03664 5.66416
30 2.10306 5.75683
31 2.17874 5.83622
32 2.26236 5.90047
33 2.35241 5.948
34 2.44721 5.97752
35 2.54496 5.98808
36 2.64377 5.97908
37 2.74168 5.95033
38 2.83671 5.902
39 2.92691 5.83465
40 3.01037 5.74927
41 3.0853 5.6472
42 3.15002 5.53014
43 3.20303 5.40013
44 3.24305 5.25953
45 3.269 5.11092
46 3.28009 4.95712
47 3.2758 4.8011
48 3.25591 4.64594
49 3.22051 4.49475
50 3.16998 4.35065
51 3.10505 4.21666
52 3.02671 4.09565
53 2.93628 3.9903
54 2.83531 3.90305
55 2.72561 3.83599
56 2.60921 3.79086
57 2.4883 3.76902
58 2.3652 3.77136
59 2.24234 3.79832
60 2.12217 3.84985
61 2.00715 3.92542
62 1.8997 4.02399
63 1.8021 4.14405
64 1.7165 4.28363
65 1.64486 4.44033
66 1.5889 4.61136
67 1.55003 4.79358
68 1.52939 4.98357
69 1.52775 5.17769
70 1.54552 5.37214
71 1.58273 5.56304
72 1.63904 5.74649
73 1.71368 5.91869
74 1.80555 6.07595
75 1.91315 6.21484
76 2.03463 6.33221
77 2.16785 6.42528
78 2.31038 6.49171
79 2.45955 6.52964
80 2.61252 6.53773
81 2.76629 6.51522
82 2.91781 6.46196
83 3.06401 6.3784
84 3.20185 6.2656
85 3.32841 6.12523
86 3.44093 5.95955
87 3.53689 5.77136
88 3.61402 5.56399
89 3.67042 5.34118
90 3.70454 5.1071
91 3.71525 4.86619
92 3.70187 4.62314
93 3.66418 4.38277
94 3.60246 4.14993
95 3.51745 3.92944
96 3.4104 3.72595
97 3.28299 3.54387
98 3.13738 3.38727
99 2.9761 3.25979
100 2.80208 3.16457
101 2.61854 3.10416
102 2.42896 3.08045
103 2.237 3.09466
104 2.04647 3.14726
105 1.86119 3.23796
106 1.68499 3.36573
107 1.52156 3.52873
108 1.37443 3.72442
109 1.24688 3.94953
110 1.14183 4.20015
111 1.06184 4.47179
112 1.00902 4.75942
113 0.984965 5.05761
114 0.990726 5.36062
115 1.02679 5.66248
116 1.09304 5.95712
117 1.18875 6.23851
118 1.3126 6.50076
119 1.46267 6.73824
120 1.6365 6.94571
121 1.83107 7.11841
122 2.04291 7.25219
123 2.26813 7.34361
124 2.50249 7.38998
125 2.74149 7.38949
126 2.98044 7.34119
127 3.21456 7.2451
128 3.43907 7.10219
129 3.64929 6.91438
130 3.84072 6.68452
131 4.00918 6.41637
132 4.15081 6.11454
133 4.26227 5.78438
134 4.3407 5.43192
135 4.3839 5.06378
136 4.39028 4.687
137 4.35898 4.30895
138 4.28987 3.93715
139 4.18359 3.57918
140 4.0415 3.24246
141 3.86575 2.93416
142 3.65917 2.66101
143 3.42527 2.42918
144 3.16818 2.24413
145 2.8926 2.11049
146 2.60365 2.03197
