1 3 5
2 2.99995 4.99
3 2.9998 4.98
4 2.99955 4.97001
5 2.9992 4.96002
6 2.99875 4.95004
7 2.9982 4.94007
8 2.99755 4.93011
9 2.9968 4.92017
10 2.99596 4.91024
11 2.99501 4.90033
12 2.99396 4.89044
13 2.99282 4.88057
14 2.99157 4.87073
15 2.99023 4.86091
16 2.98879 4.85112
17 2.98725 4.84136
18 2.98562 4.83163
19 2.98389 4.82193
20 2.98206 4.81227
21 2.98013 4.80265
22 2.97811 4.79307
23 2.97599 4.78353
24 2.97378 4.77403
25 2.97147 4.76457
26 2.96907 4.75517
27 2.96658 4.74581
28 2.96399 4.7365
29 2.96131 4.72725
30 2.95853 4.71805
31 2.95567 4.70891
32 2.95271 4.69983
33 2.94966 4.6908
34 2.94653 4.68184
35 2.9433 4.67294
36 2.93999 4.66411
37 2.93658 4.65534
38 2.93309 4.64664
39 2.92952 4.63802
40 2.92585 4.62946
41 2.92211 4.62098
42 2.91827 4.61258
43 2.91436 4.60425
44 2.91036 4.596
45 2.90628 4.58784
46 2.90212 4.57975
47 2.89787 4.57175
48 2.89355 4.56384
49 2.88915 4.55601
50 2.88467 4.54827
51 2.88011 4.54062
52 2.87548 4.53307
53 2.87078 4.52561
54 2.866 4.51824
55 2.86114 4.51097
56 2.85621 4.50379
57 2.85122 4.49672
58 2.84615 4.48974
59 2.84101 4.48287
60 2.83581 4.4761
61 2.83053 4.46944
62 2.82519 4.46288
63 2.81979 4.45643
64 2.81432 4.45009
65 2.80879 4.44386
66 2.8032 4.43774
67 2.79755 4.43173
68 2.79184 4.42584
69 2.78606 4.42006
70 2.78024 4.41439
71 2.77435 4.40885
72 2.76841 4.40342
73 2.76242 4.39811
74 2.75638 4.39292
75 2.75028 4.38786
76 2.74413 4.38291
77 2.73794 4.37809
78 2.73169 4.37339
79 2.72541 4.36882
80 2.71907 4.36438
81 2.71269 4.36006
82 2.70627 4.35587
83 2.69981 4.35181
84 2.69331 4.34788
85 2.68677 4.34408
86 2.68019 4.34041
87 2.67358 4.33687
88 2.66693 4.33346
89 2.66025 4.33019
90 2.65353 4.32705
91 2.64679 4.32405
92 2.64001 4.32118
93 2.63321 4.31845
94 2.62638 4.31585
95 2.61953 4.31339
96 2.61265 4.31107
97 2.60575 4.30889
98 2.59883 4.30684
99 2.59189 4.30494
100 2.58493 4.30317
101 2.57795 4.30154
102 2.57096 4.30005
103 2.56395 4.2987
